Citizen_ID,Age,Gender,Annual_Income,Employment_Status,Family_Size,Education_Level,Social_Category,Disability,Rural_Urban,Scheme_Eligibility
28,19.0,Male,503028.0,Employed,4,Postgraduate,OBC,,Rural,1
29,77.0,Female,634172.0,Self-employed,3,Graduate,General,No,Rural,1
30,38.0,Male,509384.0,Employed,9,Secondary,OBC,No,Rural,1
31,50.0,Male,718640.0,Employed,1,Secondary,OBC,No,Urban,1
32,29.0,Male,457962.0,Unemployed,8,Primary,SC,No,Rural,1
33,75.0,Male,414716.0,Self-employed,9,Graduate,SC,No,Rural,0
34,39.0,Male,627539.0,Employed,7,Secondary,SC,No,Urban,0
35,78.0,Female,134821.0,Self-employed,1,Postgraduate,General,No,Urban,0
36,61.0,Female,657871.0,Employed,4,Secondary,SC,No,Rural,0
37,42.0,Female,294697.0,Employed,10,Graduate,SC,Yes,Rural,1
38,66.0,Male,60207.0,Employed,1,Primary,OBC,No,Urban,1
39,44.0,Male,,Unemployed,4,Secondary,OBC,,Urban,0
40,76.0,Male,77757.0,Employed,3,Graduate,General,No,Rural,0
41,80.0,Male,983730.0,Employed,2,,OBC,No,Rural,1
42,59.0,Female,504623.0,Employed,1,Secondary,ST,No,Urban,0
43,45.0,Male,994710.0,Employed,6,Graduate,General,No,Rural,1
44,77.0,Female,725616.0,Self-employed,7,Graduate,SC,No,Urban,0
45,33.0,Female,870254.0,Self-employed,6,Secondary,General,No,Rural,0
46,32.0,Male,312070.0,Unemployed,9,Secondary,SC,No,Urban,1
47,79.0,Female,91340.0,Employed,9,Graduate,General,No,Urban,0
48,79.0,Female,292955.0,Employed,2,Graduate,SC,,Rural,1
49,64.0,Female,879783.0,Unemployed,2,Primary,General,No,Rural,0
50,79.0,Female,942743.0,Self-employed,9,Secondary,SC,No,Rural,0
51,68.0,Male,649608.0,Employed,1,Graduate,SC,No,Rural,1
52,61.0,Male,414709.0,Self-employed,5,Postgraduate,General,No,Rural,1
53,72.0,Male,478373.0,Self-employed,1,Graduate,SC,No,Rural,1
54,69.0,Male,332081.0,Self-employed,7,Secondary,General,No,Rural,1
55,74.0,Female,323363.0,Employed,9,Graduate,General,No,Urban,0
56,20.0,Male,59399.0,Employed,6,Secondary,OBC,No,Rural,1
57,54.0,Female,701021.0,Employed,2,Secondary,OBC,No,Urban,0
58,68.0,Female,804208.0,Employed,6,Graduate,General,No,Urban,0
59,24.0,Male,995161.0,Employed,9,,General,,Rural,1
60,38.0,Male,856479.0,Employed,3,Graduate,OBC,No,Rural,0
61,26.0,Female,281615.0,Unemployed,9,Secondary,ST,No,Rural,1
62,56.0,Female,659981.0,Employed,8,Graduate,ST,No,Rural,0
63,35.0,Female,675219.0,Employed,7,Secondary,ST,No,Urban,0
64,21.0,Male,750251.0,Unemployed,8,Secondary,OBC,No,Rural,0
65,42.0,Male,187852.0,Unemployed,10,Postgraduate,General,,Urban,0
66,77.0,Male,339194.0,Unemployed,6,,General,No,Urban,0
67,31.0,Male,647839.0,Employed,3,Secondary,General,No,Rural,0
68,67.0,Female,380810.0,Unemployed,7,Primary,OBC,,Rural,1
69,75.0,Female,798979.0,Employed,4,Secondary,OBC,No,Rural,1
70,26.0,Female,656304.0,Employed,10,Graduate,General,No,Urban,0
71,43.0,Female,687423.0,Unemployed,5,Postgraduate,General,No,Rural,0
72,70.0,Female,103010.0,Employed,8,Secondary,OBC,No,Urban,0
73,19.0,Male,282084.0,Employed,7,Graduate,SC,No,Urban,0
74,,Male,612453.0,Employed,7,Secondary,OBC,No,Rural,0
75,45.0,Female,323672.0,Employed,8,Primary,OBC,No,Rural,0
76,64.0,Male,957272.0,Employed,10,Graduate,SC,No,Rural,1
77,77.0,Female,230680.0,Self-employed,3,Graduate,OBC,Yes,Rural,0
78,24.0,Female,449130.0,Employed,3,Secondary,ST,No,Rural,0
79,61.0,Male,611424.0,Self-employed,2,Secondary,General,No,Rural,1
80,78.0,Female,978683.0,Employed,1,Secondary,ST,No,Rural,1
81,25.0,Female,398152.0,Employed,10,Graduate,OBC,No,Rural,0
82,64.0,Female,586364.0,Employed,6,Secondary,General,No,Rural,1
83,52.0,Female,960343.0,Employed,6,Graduate,OBC,No,Rural,1
84,31.0,Female,730143.0,Unemployed,10,Secondary,General,No,Urban,1
85,34.0,Male,953057.0,Employed,8,Secondary,General,No,Rural,1
86,53.0,Male,752076.0,Employed,6,Graduate,General,No,Rural,0
87,,Female,624586.0,Unemployed,6,Secondary,OBC,No,Rural,1
88,57.0,Female,890736.0,Employed,1,Graduate,SC,No,Rural,1
89,21.0,Male,915792.0,Self-employed,7,Graduate,OBC,No,Rural,1
90,19.0,Male,,Unemployed,7,Graduate,General,No,Urban,1
91,79.0,Female,572757.0,Employed,10,Primary,OBC,Yes,Urban,0
92,23.0,Female,686712.0,Employed,9,Graduate,ST,No,Urban,1
93,,Female,713478.0,Employed,7,Primary,SC,No,Rural,1
94,59.0,Female,304394.0,Self-employed,8,Postgraduate,OBC,No,Urban,1
95,21.0,Male,369055.0,Employed,4,Graduate,General,No,Urban,0
96,71.0,Male,153088.0,Employed,9,Secondary,SC,No,Urban,1
97,46.0,Female,589473.0,Employed,1,Secondary,OBC,No,Rural,1
98,80.0,Male,624901.0,Employed,8,Postgraduate,SC,,Rural,0
99,35.0,Male,815372.0,Employed,3,Postgraduate,General,No,Urban,0
100,43.0,Male,214999.0,Self-employed,1,Postgraduate,General,No,Urban,1
101,61.0,Female,312530.0,Employed,2,Graduate,OBC,No,Urban,1
102,51.0,Female,535369.0,Self-employed,6,Graduate,SC,No,Rural,0
103,27.0,Male,,Self-employed,5,Graduate,ST,,Rural,1
104,79.0,Male,342164.0,Employed,3,Primary,OBC,No,Urban,0
105,53.0,Female,616966.0,Employed,9,Primary,OBC,No,Rural,1
106,31.0,Other,,Employed,8,Graduate,OBC,,Urban,1
107,48.0,Male,111394.0,Unemployed,3,Graduate,General,No,Rural,1
108,65.0,Female,774305.0,Employed,2,Graduate,General,No,Urban,0
109,32.0,Male,689665.0,Self-employed,8,Secondary,SC,No,Rural,1
110,25.0,Female,696004.0,Unemployed,5,Graduate,SC,No,Rural,1
111,31.0,Male,237486.0,Employed,9,Secondary,OBC,No,Rural,0
112,40.0,Male,630206.0,Unemployed,1,Graduate,OBC,No,Rural,0
113,77.0,Female,534497.0,Employed,10,Graduate,OBC,No,Rural,1
114,74.0,Female,292556.0,Self-employed,3,Secondary,General,No,Urban,1
115,79.0,Male,427784.0,Employed,5,Postgraduate,SC,No,Rural,1
116,57.0,Female,734815.0,,2,Graduate,General,No,Urban,1
117,38.0,Male,,,3,Postgraduate,OBC,,Rural,1
118,33.0,Female,219807.0,Self-employed,4,Secondary,General,No,Rural,1
119,62.0,Male,144702.0,Employed,4,Secondary,OBC,No,Urban,0
120,35.0,Female,155509.0,Self-employed,9,Primary,General,No,Urban,0
121,64.0,Male,405752.0,Employed,1,Primary,SC,No,Urban,0
122,70.0,Female,164310.0,Employed,9,Secondary,General,No,Rural,0
123,41.0,Female,979613.0,Employed,9,Primary,SC,No,Urban,0
124,43.0,Female,882234.0,Employed,6,Postgraduate,OBC,No,Urban,1
125,42.0,Female,773380.0,Employed,1,Postgraduate,SC,No,Urban,0
126,77.0,Female,608910.0,Employed,6,Postgraduate,SC,No,Urban,1
127,77.0,Male,159935.0,Unemployed,8,Postgraduate,SC,No,Rural,0
128,77.0,Male,,Employed,5,Graduate,SC,No,Rural,0
129,62.0,Female,167919.0,Employed,5,Graduate,OBC,No,Rural,0
130,58.0,Male,970101.0,Employed,1,Secondary,General,No,Urban,1
131,46.0,Female,746314.0,Unemployed,1,Secondary,OBC,No,Urban,0
132,32.0,Other,119519.0,Employed,8,Graduate,General,No,Urban,0
133,62.0,Male,,Employed,5,Postgraduate,SC,,Rural,0
134,18.0,Female,548204.0,Employed,8,Graduate,OBC,No,Urban,1
135,42.0,Male,306587.0,Unemployed,10,Graduate,SC,No,Urban,1
136,24.0,Female,198112.0,Self-employed,2,Secondary,SC,No,Rural,0
137,26.0,Male,94772.0,Employed,4,Graduate,SC,No,Rural,0
138,41.0,Male,172431.0,Employed,10,Graduate,OBC,No,Urban,0
139,18.0,Female,932522.0,Self-employed,9,Postgraduate,SC,No,Rural,0
140,61.0,Female,244904.0,Self-employed,3,,General,No,Rural,1
141,25.0,Female,208988.0,Unemployed,6,Graduate,OBC,No,Rural,0
142,41.0,Female,881303.0,Self-employed,7,Secondary,General,Yes,Rural,0
143,80.0,Male,564743.0,Unemployed,3,Secondary,General,No,Rural,0
144,28.0,Female,862804.0,Unemployed,1,Secondary,OBC,No,Urban,1
145,68.0,Male,89080.0,Employed,2,Postgraduate,General,No,Rural,1
146,34.0,Female,156242.0,Employed,10,Secondary,SC,No,Urban,0
147,25.0,Female,879154.0,Employed,7,Secondary,General,Yes,Rural,1
148,52.0,Female,564080.0,Self-employed,7,Secondary,ST,No,Urban,0
149,52.0,Female,79048.0,Self-employed,1,Postgraduate,OBC,No,Rural,1
150,50.0,Male,659493.0,Unemployed,10,Graduate,OBC,No,Urban,0
151,76.0,Female,977281.0,Employed,7,Graduate,General,No,Rural,0
152,22.0,Male,366855.0,Employed,10,Secondary,General,,Rural,1
153,59.0,Female,217403.0,Employed,6,Secondary,SC,No,Rural,1
154,56.0,Male,306392.0,Employed,6,Secondary,OBC,No,Rural,1
155,75.0,Female,70968.0,Unemployed,7,Graduate,General,No,Rural,1
156,58.0,Female,497185.0,Self-employed,7,Postgraduate,General,No,Urban,0
157,45.0,Male,284417.0,Employed,1,Graduate,SC,Yes,Rural,0
158,24.0,Male,585580.0,Employed,10,Secondary,OBC,No,Rural,1
159,26.0,Female,826230.0,Unemployed,5,Graduate,General,No,Rural,0
160,25.0,Male,391603.0,Employed,8,Graduate,General,No,Rural,1
161,29.0,Male,823292.0,Self-employed,8,Primary,OBC,,Rural,0
162,51.0,Male,886624.0,Employed,3,Secondary,General,No,Rural,0
163,50.0,Male,995207.0,Employed,3,Graduate,OBC,No,Urban,1
164,65.0,Female,658481.0,Employed,7,Graduate,General,Yes,Rural,0
165,72.0,Female,643453.0,Employed,4,Postgraduate,OBC,,Urban,0
166,40.0,Male,904082.0,Employed,6,Postgraduate,OBC,No,Rural,1
167,79.0,Male,543197.0,Employed,9,Primary,General,No,Rural,0
168,41.0,Male,966290.0,Employed,10,Graduate,SC,No,Urban,1
169,54.0,Male,675686.0,Employed,2,Secondary,General,No,Rural,0
170,52.0,Male,796470.0,Employed,2,Graduate,OBC,No,Rural,1
171,61.0,Male,934317.0,Employed,6,Graduate,General,No,Urban,0
172,57.0,Male,203329.0,Employed,3,Graduate,ST,,Urban,0
173,39.0,Female,150588.0,Unemployed,1,Postgraduate,OBC,No,Rural,1
174,44.0,Male,,Self-employed,2,Graduate,General,No,Rural,1
175,52.0,Female,827110.0,Employed,7,Postgraduate,General,No,Rural,0
176,18.0,Female,574186.0,Employed,4,Secondary,ST,No,Urban,0
177,52.0,Female,919941.0,Employed,2,Secondary,ST,,Urban,1
178,54.0,Female,796633.0,Employed,8,Graduate,OBC,No,Urban,0
179,64.0,Female,363816.0,Unemployed,4,Postgraduate,OBC,,Urban,0
180,31.0,Female,782943.0,Self-employed,4,Secondary,General,No,Rural,0
181,20.0,Female,562552.0,Unemployed,2,Primary,OBC,No,Rural,1
182,18.0,Female,334257.0,Employed,1,Graduate,General,,Urban,0
183,22.0,Female,312838.0,Employed,1,Graduate,OBC,No,Rural,0
184,43.0,Female,65588.0,Self-employed,3,Graduate,SC,No,Rural,0
185,72.0,Male,767116.0,Employed,6,Graduate,SC,No,Rural,1
186,80.0,Male,507301.0,Employed,7,Postgraduate,OBC,No,Urban,0
187,31.0,Male,816719.0,Self-employed,9,Graduate,OBC,No,Urban,0
188,56.0,Female,295456.0,Unemployed,5,Secondary,OBC,No,Rural,0
189,44.0,Female,766502.0,Unemployed,9,Graduate,General,Yes,Rural,0
190,26.0,Female,114373.0,Employed,8,Graduate,OBC,No,Rural,1
191,32.0,Female,922035.0,Employed,1,Postgraduate,General,,Rural,1
192,32.0,Male,580992.0,Employed,3,Secondary,General,,Urban,0
193,43.0,Male,90136.0,Unemployed,8,Secondary,SC,,Urban,1
194,59.0,Female,641795.0,Employed,9,Secondary,General,No,Urban,1
195,77.0,Female,97361.0,Self-employed,4,Graduate,OBC,No,Rural,1
196,30.0,Other,895279.0,Self-employed,6,,OBC,,Urban,0
197,68.0,Male,,Employed,4,Graduate,OBC,No,Rural,0
198,80.0,Female,192513.0,Employed,9,Graduate,General,No,Urban,0
199,49.0,Female,431050.0,Employed,2,Graduate,General,No,Urban,0
200,56.0,Female,64677.0,Unemployed,6,Graduate,OBC,No,Urban,0
201,66.0,Female,864250.0,Unemployed,3,Postgraduate,SC,No,Rural,1
202,69.0,Female,314012.0,Unemployed,10,Graduate,OBC,No,Rural,1
203,78.0,Male,,Employed,4,Secondary,SC,No,Urban,0
204,49.0,Female,960394.0,Employed,2,Secondary,OBC,No,Rural,1
205,21.0,Female,379408.0,Unemployed,8,Graduate,General,No,Rural,1
206,47.0,Female,647456.0,Employed,10,Secondary,OBC,No,Rural,0
207,,Female,717403.0,Unemployed,8,Graduate,SC,,Rural,0
208,40.0,Male,121939.0,Unemployed,1,Postgraduate,OBC,No,Rural,1
209,56.0,Male,327876.0,Employed,10,Graduate,OBC,No,Rural,0
210,62.0,Other,891676.0,Employed,6,Secondary,ST,,Rural,0
211,,Female,461742.0,Employed,1,Secondary,OBC,,Rural,0
212,60.0,Female,845772.0,Employed,6,Postgraduate,General,No,Urban,0
213,46.0,Male,809848.0,Unemployed,7,Postgraduate,General,,Urban,1
214,53.0,Female,858826.0,Unemployed,2,Graduate,OBC,No,Rural,0
215,30.0,Female,410701.0,Self-employed,9,Secondary,OBC,No,Urban,1
216,49.0,Female,185174.0,Unemployed,8,Graduate,SC,Yes,Urban,0
217,24.0,Male,545062.0,Employed,9,Secondary,General,No,Rural,0
218,76.0,Female,593447.0,Employed,10,Secondary,OBC,No,Rural,1
219,68.0,Female,172366.0,Self-employed,4,Secondary,General,No,Rural,1
220,39.0,Male,246164.0,Employed,4,Graduate,General,No,Rural,1
221,45.0,Female,842644.0,Unemployed,8,Secondary,OBC,No,Urban,1
222,19.0,Female,540576.0,Unemployed,1,Secondary,General,No,Rural,1
223,59.0,Female,873837.0,Employed,8,Primary,General,No,Rural,1
224,62.0,Female,442776.0,Employed,7,Graduate,OBC,No,Urban,0
225,79.0,Male,389205.0,Employed,7,Graduate,OBC,No,Urban,1
226,74.0,Male,406440.0,Self-employed,9,Secondary,General,No,Rural,0
227,70.0,Male,891618.0,Employed,10,Postgraduate,ST,No,Urban,0
228,23.0,Male,816164.0,Self-employed,7,Graduate,OBC,No,Rural,0
229,45.0,Female,798353.0,Employed,2,Primary,SC,No,Rural,1
230,45.0,Male,435289.0,Self-employed,1,Secondary,OBC,No,Urban,1
231,61.0,Female,556767.0,Employed,1,Graduate,General,No,Rural,0
232,61.0,Other,584820.0,Employed,7,Secondary,ST,No,Rural,1
233,37.0,Female,260126.0,Self-employed,5,Primary,General,No,Urban,1
234,47.0,Female,266351.0,Self-employed,4,Graduate,ST,No,Urban,1
235,79.0,Female,378684.0,Employed,5,,General,No,Urban,1
236,28.0,Female,153021.0,Unemployed,10,Graduate,OBC,Yes,Rural,0
237,75.0,Male,839703.0,Self-employed,10,,SC,,Urban,0
238,72.0,Male,50209.0,Employed,6,Postgraduate,OBC,No,Urban,0
239,45.0,Female,272071.0,Employed,10,,General,No,Urban,1
240,42.0,Female,710899.0,Self-employed,6,Primary,OBC,No,Urban,1
241,56.0,Female,856409.0,Employed,1,Postgraduate,General,No,Rural,1
242,,Female,255214.0,Employed,2,Graduate,OBC,No,Rural,0
243,50.0,Female,159920.0,Unemployed,3,Graduate,ST,No,Rural,1
244,18.0,Male,440300.0,Employed,4,Primary,General,No,Rural,1
245,74.0,Other,411732.0,Employed,6,Primary,OBC,No,Urban,1
246,44.0,Female,380828.0,Self-employed,9,Secondary,OBC,No,Urban,1
247,79.0,Male,280144.0,Employed,2,Graduate,SC,No,Urban,0
248,74.0,Female,960294.0,Self-employed,8,Secondary,OBC,No,Rural,0
249,69.0,Male,317751.0,Self-employed,9,Graduate,General,,Rural,0
250,30.0,Female,266194.0,Employed,2,Graduate,OBC,No,Rural,0
251,58.0,Female,406930.0,Employed,9,Primary,General,No,Urban,0
252,20.0,Male,438550.0,Employed,7,Secondary,General,No,Urban,0
253,56.0,Female,233011.0,Employed,9,Secondary,OBC,No,Urban,0
254,23.0,Female,723954.0,Unemployed,6,Primary,OBC,No,Rural,1
255,25.0,Male,501598.0,Unemployed,2,Secondary,General,No,Urban,1
256,44.0,Male,57399.0,Employed,8,Secondary,General,No,Rural,0
257,26.0,Female,564242.0,Employed,10,Graduate,OBC,No,Rural,0
258,79.0,Male,701100.0,Employed,9,Graduate,OBC,No,Rural,1
259,54.0,Male,992621.0,Employed,8,Secondary,ST,No,Rural,0
260,50.0,Male,148662.0,Employed,2,Graduate,SC,Yes,Urban,0
261,68.0,Male,345761.0,Employed,8,Postgraduate,General,No,Urban,1
262,59.0,Female,712858.0,Unemployed,3,,OBC,No,Rural,0
263,61.0,Female,939258.0,Employed,3,Primary,SC,,Rural,0
264,41.0,Male,822592.0,Employed,9,Graduate,General,No,Rural,0
265,32.0,Female,966283.0,Unemployed,9,Graduate,General,No,Rural,0
266,76.0,Male,423221.0,Employed,9,Postgraduate,General,No,Urban,1
267,71.0,Female,887056.0,Employed,4,Postgraduate,OBC,,Rural,0
268,49.0,Other,,Employed,7,Secondary,OBC,,Rural,1
269,49.0,Male,443545.0,Employed,8,Graduate,SC,No,Rural,0
270,41.0,Female,350763.0,Employed,5,Postgraduate,General,No,Rural,1
271,58.0,Female,57032.0,Self-employed,1,Graduate,General,No,Rural,1
272,69.0,Male,753454.0,Employed,9,Graduate,General,No,Urban,0
273,66.0,Male,350178.0,Self-employed,6,Secondary,General,No,Urban,0
274,79.0,Male,676946.0,Employed,3,Secondary,SC,No,Rural,0
275,66.0,Female,957555.0,Employed,3,Graduate,OBC,No,Rural,0
276,75.0,Other,565882.0,Employed,10,Graduate,OBC,,Rural,0
277,69.0,Female,922590.0,Employed,1,Postgraduate,General,Yes,Rural,1
278,29.0,Female,629552.0,Employed,8,Postgraduate,SC,No,Rural,1
279,79.0,Female,668408.0,Employed,2,Secondary,OBC,No,Urban,0
280,56.0,Female,97850.0,Employed,1,Graduate,SC,,Urban,1
281,19.0,Female,579010.0,Employed,7,Secondary,OBC,,Rural,1
282,20.0,Male,329916.0,Employed,9,Graduate,General,No,Rural,0
283,66.0,Female,398249.0,Employed,6,Graduate,OBC,No,Rural,1
284,54.0,Female,484895.0,Employed,8,Secondary,General,No,Rural,1
285,66.0,Male,54576.0,Unemployed,8,Secondary,OBC,No,Urban,1
286,73.0,Female,732067.0,Self-employed,9,Secondary,SC,No,Rural,0
287,34.0,Male,411548.0,Employed,7,Primary,OBC,,Rural,0
288,76.0,Female,484848.0,Employed,9,Postgraduate,General,No,Urban,1
289,66.0,Female,615764.0,Employed,9,Primary,ST,No,Urban,0
290,19.0,Male,298292.0,Self-employed,1,Primary,SC,No,Rural,1
291,19.0,Male,473501.0,Employed,6,Secondary,OBC,No,Rural,0
292,45.0,Male,860586.0,Unemployed,8,Postgraduate,OBC,,Rural,0
293,71.0,Female,463270.0,Employed,10,Secondary,OBC,No,Rural,0
294,40.0,Male,329309.0,Employed,9,Secondary,OBC,No,Rural,0
295,54.0,Female,64439.0,Employed,4,Graduate,General,No,Urban,0
296,49.0,Male,430355.0,Employed,2,Secondary,General,No,Urban,1
297,50.0,Other,618806.0,,9,Secondary,SC,No,Urban,0
298,18.0,Female,269123.0,Employed,9,Graduate,General,No,Rural,0
299,36.0,Female,601250.0,Employed,8,Secondary,General,No,Urban,1
300,79.0,Female,813445.0,Employed,3,Postgraduate,General,No,Urban,0
301,19.0,Female,349907.0,Unemployed,5,Graduate,OBC,No,Rural,0
302,70.0,Female,166189.0,Employed,2,Graduate,OBC,No,Rural,0
303,61.0,Male,160290.0,Employed,3,Secondary,General,Yes,Rural,0
304,43.0,Male,947246.0,Employed,1,Graduate,General,No,Rural,0
305,49.0,Male,855896.0,Employed,4,,OBC,No,Urban,1
306,23.0,Male,173980.0,Unemployed,5,Secondary,SC,No,Rural,0
307,49.0,Male,277021.0,Employed,2,Secondary,OBC,No,Urban,1
308,72.0,Female,738630.0,Employed,3,Graduate,SC,No,Rural,0
309,21.0,Other,92299.0,Employed,6,Graduate,SC,,Urban,1
310,72.0,Male,791165.0,,6,Postgraduate,OBC,,Urban,1
311,28.0,Female,81541.0,Employed,7,Graduate,OBC,No,Urban,0
312,73.0,Male,385689.0,Employed,9,Graduate,OBC,No,Rural,0
313,76.0,Female,,Self-employed,4,Secondary,OBC,No,Urban,1
314,34.0,Female,,Employed,5,Graduate,SC,No,Rural,1
315,80.0,Female,179188.0,Self-employed,2,Postgraduate,SC,No,Urban,0
316,55.0,Other,258150.0,Employed,6,Graduate,SC,No,Rural,0
317,41.0,Male,526186.0,Employed,4,Secondary,OBC,No,Urban,1
318,22.0,Female,866197.0,Unemployed,5,Secondary,ST,No,Urban,0
319,69.0,Female,860201.0,Self-employed,7,Secondary,ST,No,Urban,0
320,51.0,Male,269073.0,Employed,6,Graduate,OBC,No,Urban,1
321,23.0,Female,530620.0,Self-employed,8,Postgraduate,ST,No,Rural,0
322,39.0,Male,594444.0,Employed,6,Secondary,ST,No,Rural,0
323,28.0,Female,791196.0,Self-employed,10,Secondary,General,No,Rural,1
324,80.0,Male,493697.0,Employed,8,Graduate,OBC,No,Rural,1
325,65.0,Male,718795.0,Employed,4,Postgraduate,General,No,Urban,0
326,33.0,Female,,Self-employed,7,Graduate,OBC,No,Urban,1
327,50.0,Female,751696.0,,3,Secondary,General,No,Urban,1
328,26.0,Male,,Employed,1,Secondary,ST,,Rural,0
329,77.0,Male,874341.0,Employed,9,Graduate,OBC,No,Rural,0
330,76.0,Female,643775.0,Employed,9,Graduate,OBC,No,Rural,1
331,23.0,Male,988972.0,Employed,6,Secondary,General,No,Urban,0
332,33.0,Male,535825.0,Employed,2,Graduate,OBC,No,Rural,0
333,46.0,Female,359799.0,Employed,8,Graduate,General,No,Urban,1
334,20.0,Female,477557.0,Employed,10,Graduate,OBC,,Rural,1
335,37.0,Male,817023.0,Unemployed,6,Secondary,General,No,Rural,1
336,77.0,Female,769542.0,Employed,7,Postgraduate,General,No,Urban,1
337,76.0,Female,101786.0,Employed,1,Graduate,General,No,Urban,0
338,53.0,Female,118304.0,Employed,3,Graduate,General,,Urban,1
339,36.0,Female,415750.0,Unemployed,1,Graduate,OBC,No,Rural,0
340,43.0,Male,227586.0,Employed,10,Postgraduate,ST,No,Rural,0
341,20.0,Male,695226.0,Employed,1,Graduate,OBC,,Rural,0
342,80.0,Male,477195.0,Unemployed,1,Graduate,SC,No,Urban,0
343,36.0,Female,534103.0,Self-employed,4,Secondary,SC,,Rural,0
344,37.0,Male,917413.0,Unemployed,7,Secondary,OBC,No,Urban,0
345,49.0,Female,105107.0,Self-employed,7,Secondary,General,,Urban,1
346,24.0,Male,572058.0,Unemployed,5,Postgraduate,SC,No,Urban,0
347,69.0,Male,295191.0,Unemployed,6,Postgraduate,OBC,No,Rural,0
348,58.0,Female,706520.0,Employed,2,Secondary,OBC,No,Rural,0
349,50.0,Male,400041.0,Employed,5,Secondary,General,No,Urban,1
350,57.0,Male,122577.0,Employed,7,Secondary,SC,No,Urban,1
351,56.0,Female,789663.0,Employed,9,Postgraduate,OBC,No,Urban,0
352,35.0,Male,454062.0,Employed,6,Secondary,General,No,Rural,1
353,57.0,Female,310933.0,Employed,10,Graduate,OBC,No,Urban,0
354,18.0,Female,678468.0,Unemployed,4,Postgraduate,General,No,Rural,1
355,28.0,Male,332068.0,Employed,3,Graduate,General,No,Rural,1
356,45.0,Female,423337.0,Employed,9,Graduate,SC,No,Urban,0
357,74.0,Female,719242.0,Self-employed,7,Graduate,General,No,Rural,0
358,42.0,Male,785634.0,Employed,6,Graduate,General,,Rural,1
359,,Male,51095.0,Employed,7,Graduate,SC,No,Rural,0
360,40.0,Male,416349.0,Employed,8,Secondary,OBC,,Rural,0
361,48.0,Female,746343.0,Self-employed,5,Postgraduate,OBC,No,Rural,1
362,47.0,Male,588411.0,Employed,3,Graduate,General,No,Rural,0
363,59.0,Female,536884.0,Unemployed,3,Secondary,SC,Yes,Rural,1
364,52.0,Female,771975.0,Employed,2,Secondary,General,No,Urban,0
365,24.0,Female,538409.0,Employed,8,Primary,ST,No,Urban,0
366,77.0,Male,881710.0,Employed,1,Graduate,General,No,Urban,1
367,33.0,Male,934343.0,Unemployed,8,Secondary,OBC,,Rural,1
368,43.0,Female,101999.0,Self-employed,3,Graduate,OBC,No,Rural,1
369,65.0,Male,867585.0,Unemployed,9,Secondary,OBC,No,Urban,0
370,74.0,Male,330488.0,Unemployed,2,Secondary,General,,Rural,1
371,69.0,Male,805137.0,Employed,10,Graduate,OBC,,Rural,0
372,77.0,Male,611944.0,Unemployed,9,Graduate,General,No,Rural,0
373,66.0,Female,251587.0,Employed,6,Postgraduate,SC,No,Rural,1
374,19.0,Male,834875.0,Unemployed,1,Graduate,General,No,Urban,0
375,18.0,Male,,Employed,5,Secondary,General,No,Urban,1
376,65.0,Male,694673.0,Employed,10,Graduate,OBC,No,Urban,1
377,79.0,Female,190073.0,Employed,9,Primary,General,No,Urban,0
378,29.0,Female,,Employed,6,Secondary,OBC,No,Urban,0
379,22.0,Male,935155.0,Employed,7,Secondary,General,No,Rural,0
